corruption,severity,action,accuracy
pixelate,1,dncnn,66.620000
pixelate,1,jpeg20,63.230000
pixelate,1,config_a,63.870000
pixelate,2,dncnn,57.230000
pixelate,2,jpeg20,62.150000
pixelate,2,config_a,62.850000
pixelate,3,dncnn,48.850000
pixelate,3,jpeg20,55.850000
pixelate,3,config_a,56.040000
pixelate,4,dncnn,28.240000
pixelate,4,jpeg20,43.520000
pixelate,4,config_a,43.440000
pixelate,5,dncnn,16.950000
pixelate,5,jpeg20,23.060000
pixelate,5,config_a,23.930000
pixelate,1,router,66.740000
pixelate,2,router,62.410000
pixelate,3,router,55.040000
pixelate,4,router,38.780000
pixelate,5,router,20.840000
elastic_transform,1,dncnn,73.060000
elastic_transform,1,jpeg20,59.810000
elastic_transform,1,config_a,60.610000
elastic_transform,2,dncnn,53.960000
elastic_transform,2,jpeg20,38.490000
elastic_transform,2,config_a,39.190000
elastic_transform,3,dncnn,57.590000
elastic_transform,3,jpeg20,53.000000
elastic_transform,3,config_a,53.550000
elastic_transform,4,dncnn,42.710000
elastic_transform,4,jpeg20,42.680000
elastic_transform,4,config_a,43.110000
elastic_transform,5,dncnn,16.600000
elastic_transform,5,jpeg20,20.470000
elastic_transform,5,config_a,20.830000
elastic_transform,1,router,71.630000
elastic_transform,2,router,51.950000
elastic_transform,3,router,58.410000
elastic_transform,4,router,45.060000
elastic_transform,5,router,19.400000
